image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_06555.jpg,0.5015059114,0.0683292821,0.0218436848,0.0280547421,0.0436106063,0.1184979454,0.0082360506,0.2099217027
img_03809.jpg,0.4295994341,0.1538560987,0.0218428150,0.0212096777,0.2233323008,0.0385263003,0.0179472286,0.0936860368
img_00486.jpg,0.5242602825,0.0750599429,0.0251345243,0.0497467183,0.1063580289,0.1448300034,0.0165991317,0.0580113940
img_04511.jpg,0.5585283637,0.1828291416,0.0077623553,0.0142240813,0.1101209745,0.0803211257,0.0043790336,0.0418349840
img_01647.jpg,0.3659938276,0.0328016877,0.0419265367,0.0081362799,0.1885611415,0.0447242260,0.0720623210,0.2457939535
img_05508.jpg,0.2672077119,0.1219538376,0.0353060253,0.0289768148,0.0838195086,0.1252331287,0.0260923207,0.3114106357
img_04482.jpg,0.7149818540,0.1425777525,0.0040354542,0.0575514548,0.0225087162,0.0195184350,0.0038276054,0.0349987596
img_03087.jpg,0.2786920965,0.0887591168,0.0058717094,0.0081900815,0.5467500687,0.0428121127,0.0034401102,0.0254846830
img_00102.jpg,0.4559551775,0.0835183561,0.0047413125,0.0272817146,0.0449172519,0.0617490895,0.0271716993,0.2946653664
img_03355.jpg,0.5624105334,0.0246423408,0.0229309816,0.0050755236,0.0362381004,0.1565714478,0.0487951040,0.1433360130
img_04061.jpg,0.3939709365,0.0857206285,0.0092822155,0.0573343895,0.0122563913,0.1000047922,0.0511234440,0.2903071642
img_07054.jpg,0.1993064284,0.5917158127,0.0099094780,0.0422625355,0.0179197509,0.0434535183,0.0125723472,0.0828601122
img_00469.jpg,0.3644345105,0.2385621518,0.0060552941,0.0484192260,0.0310289264,0.1254719347,0.0185815897,0.1674464494
img_05558.jpg,0.3192315400,0.0292269737,0.0249343142,0.0088007068,0.0538809597,0.2266059965,0.1337411255,0.2035783678
img_00518.jpg,0.6971833706,0.0139549738,0.0426105969,0.0059386254,0.1010186449,0.0232859552,0.0156462044,0.1003616080
img_07553.jpg,0.4924163520,0.0760343745,0.0119203003,0.0132498303,0.2910711467,0.0859827772,0.0039859638,0.0253391881
img_00612.jpg,0.4132328331,0.0186415985,0.0546113849,0.0049717803,0.1330925971,0.1307912320,0.0512809642,0.1933775395
img_05021.jpg,0.1431417018,0.0581257604,0.0096763009,0.0157175083,0.7279945016,0.0200853106,0.0081943935,0.0170644801
img_01237.jpg,0.4530285299,0.0598285459,0.0108106323,0.0154747674,0.1887455732,0.0564335771,0.0345827825,0.1810955852
img_00902.jpg,0.2737352550,0.1520394087,0.0129853366,0.0127436044,0.1439860016,0.0434086360,0.2625912726,0.0985104814
img_04263.jpg,0.7635965943,0.0327844471,0.0524328463,0.0035374861,0.0355345905,0.0176952165,0.0215920974,0.0728266910
img_03195.jpg,0.4122411907,0.0781455040,0.0043398528,0.0261105206,0.0053814934,0.0412351340,0.0259783287,0.4065679610
img_06268.jpg,0.2394707352,0.1983338147,0.0318424962,0.0313931145,0.0499519743,0.0562589280,0.0333997943,0.3593491316
img_06189.jpg,0.7296475768,0.1251629591,0.0049902201,0.0089972354,0.0149841979,0.0609202720,0.0094921002,0.0458054580
img_05186.jpg,0.3819425404,0.1075925454,0.0174066145,0.0143576590,0.0446290635,0.0454027615,0.0325357653,0.3561330140
